Sat 24 Dec 2022 07:18:46 PM KST
NODELIST=agi1
MASTER_ADDR=agi1
conda 22.11.0
Python 3.10.8
Vit is used
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='vit', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P_K]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P_kearney.py:534 > Train | Sample # 8 | train_loss 10.6251 | train_acc 0.5312 | lr 0.012074 | running_time 0:00:02 | ETA 4:05:34
[INFO] L2P_kearney.py:534 > Train | Sample # 96 | train_loss 7.1610 | train_acc 0.6354 | lr 0.028787 | running_time 0:00:22 | ETA 3:10:54
[INFO] L2P_kearney.py:544 > Test | Sample # 100 | test_loss 6.7253 | test_acc 0.7175 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 104 | train_loss 4.1565 | train_acc 0.7396 | lr 0.026478 | running_time 0:00:32 | ETA 4:19:35
[INFO] L2P_kearney.py:534 > Train | Sample # 112 | train_loss 4.4600 | train_acc 0.7188 | lr 0.023180 | running_time 0:00:34 | ETA 4:14:25
[INFO] L2P_kearney.py:534 > Train | Sample # 120 | train_loss 3.9913 | train_acc 0.7292 | lr 0.019178 | running_time 0:00:36 | ETA 4:09:49
[INFO] L2P_kearney.py:534 > Train | Sample # 128 | train_loss 4.0646 | train_acc 0.7292 | lr 0.014816 | running_time 0:00:37 | ETA 4:05:53
[INFO] L2P_kearney.py:534 > Train | Sample # 136 | train_loss 4.1692 | train_acc 0.6536 | lr 0.010470 | running_time 0:00:39 | ETA 4:02:23
[INFO] L2P_kearney.py:534 > Train | Sample # 144 | train_loss 2.7854 | train_acc 0.7031 | lr 0.006514 | running_time 0:00:41 | ETA 3:59:13
[INFO] L2P_kearney.py:534 > Train | Sample # 152 | train_loss 2.7982 | train_acc 0.7630 | lr 0.003289 | running_time 0:00:43 | ETA 3:56:27
[INFO] L2P_kearney.py:534 > Train | Sample # 160 | train_loss 1.9114 | train_acc 0.7734 | lr 0.001072 | running_time 0:00:45 | ETA 3:53:56
[INFO] L2P_kearney.py:534 > Train | Sample # 168 | train_loss 3.1373 | train_acc 0.6823 | lr 0.000055 | running_time 0:00:46 | ETA 3:51:37
[INFO] L2P_kearney.py:534 > Train | Sample # 176 | train_loss 5.4633 | train_acc 0.6172 | lr 0.029918 | running_time 0:00:48 | ETA 3:49:36
[INFO] L2P_kearney.py:534 > Train | Sample # 184 | train_loss 5.4369 | train_acc 0.6068 | lr 0.029528 | running_time 0:00:50 | ETA 3:47:41
[INFO] L2P_kearney.py:534 > Train | Sample # 192 | train_loss 4.4517 | train_acc 0.6667 | lr 0.028823 | running_time 0:00:52 | ETA 3:45:55
[INFO] L2P_kearney.py:534 > Train | Sample # 200 | train_loss 4.0758 | train_acc 0.6510 | lr 0.027818 | running_time 0:00:54 | ETA 3:44:19
[INFO] L2P_kearney.py:544 > Test | Sample # 200 | test_loss 7.9600 | test_acc 0.5900 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 208 | train_loss 4.0320 | train_acc 0.6406 | lr 0.026537 | running_time 0:01:08 | ETA 4:31:47
[INFO] L2P_kearney.py:534 > Train | Sample # 216 | train_loss 4.2575 | train_acc 0.5938 | lr 0.025005 | running_time 0:01:09 | ETA 4:28:37
[INFO] L2P_kearney.py:534 > Train | Sample # 224 | train_loss 2.8900 | train_acc 0.7292 | lr 0.023257 | running_time 0:01:11 | ETA 4:25:36
[INFO] L2P_kearney.py:534 > Train | Sample # 232 | train_loss 3.3991 | train_acc 0.6432 | lr 0.021330 | running_time 0:01:13 | ETA 4:22:47
[INFO] L2P_kearney.py:534 > Train | Sample # 240 | train_loss 2.7324 | train_acc 0.6484 | lr 0.019266 | running_time 0:01:15 | ETA 4:20:11
[INFO] L2P_kearney.py:534 > Train | Sample # 248 | train_loss 2.4418 | train_acc 0.7135 | lr 0.017110 | running_time 0:01:17 | ETA 4:17:47
[INFO] L2P_kearney.py:534 > Train | Sample # 256 | train_loss 1.9084 | train_acc 0.7526 | lr 0.014908 | running_time 0:01:18 | ETA 4:15:30
[INFO] L2P_kearney.py:534 > Train | Sample # 264 | train_loss 2.6284 | train_acc 0.6562 | lr 0.012708 | running_time 0:01:20 | ETA 4:13:24
[INFO] L2P_kearney.py:534 > Train | Sample # 272 | train_loss 1.7915 | train_acc 0.7865 | lr 0.010558 | running_time 0:01:22 | ETA 4:11:24
[INFO] L2P_kearney.py:534 > Train | Sample # 280 | train_loss 2.0504 | train_acc 0.7656 | lr 0.008504 | running_time 0:01:24 | ETA 4:09:31
[INFO] L2P_kearney.py:534 > Train | Sample # 288 | train_loss 2.5296 | train_acc 0.7240 | lr 0.006590 | running_time 0:01:26 | ETA 4:07:43
[INFO] L2P_kearney.py:534 > Train | Sample # 296 | train_loss 2.1724 | train_acc 0.6589 | lr 0.004859 | running_time 0:01:27 | ETA 4:06:08
[INFO] L2P_kearney.py:544 > Test | Sample # 300 | test_loss 2.7238 | test_acc 0.6783 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 304 | train_loss 2.3911 | train_acc 0.6562 | lr 0.003347 | running_time 0:01:42 | ETA 4:40:00
[INFO] L2P_kearney.py:534 > Train | Sample # 312 | train_loss 1.7051 | train_acc 0.7630 | lr 0.002087 | running_time 0:01:44 | ETA 4:37:34
[INFO] L2P_kearney.py:534 > Train | Sample # 320 | train_loss 2.2349 | train_acc 0.6823 | lr 0.001107 | running_time 0:01:46 | ETA 4:35:17
[INFO] L2P_kearney.py:534 > Train | Sample # 328 | train_loss 1.8082 | train_acc 0.7630 | lr 0.000427 | running_time 0:01:48 | ETA 4:33:06
[INFO] L2P_kearney.py:534 > Train | Sample # 336 | train_loss 1.5963 | train_acc 0.7161 | lr 0.000063 | running_time 0:01:50 | ETA 4:31:00
[INFO] L2P_kearney.py:534 > Train | Sample # 344 | train_loss 2.5666 | train_acc 0.7578 | lr 0.029994 | running_time 0:01:51 | ETA 4:28:57
[INFO] L2P_kearney.py:534 > Train | Sample # 352 | train_loss 3.6508 | train_acc 0.6797 | lr 0.029923 | running_time 0:01:53 | ETA 4:27:05
[INFO] L2P_kearney.py:534 > Train | Sample # 360 | train_loss 3.7734 | train_acc 0.6276 | lr 0.029771 | running_time 0:01:55 | ETA 4:25:15
[INFO] L2P_kearney.py:534 > Train | Sample # 368 | train_loss 2.5702 | train_acc 0.7708 | lr 0.029539 | running_time 0:01:57 | ETA 4:23:31
[INFO] L2P_kearney.py:534 > Train | Sample # 376 | train_loss 2.7742 | train_acc 0.6979 | lr 0.029228 | running_time 0:01:59 | ETA 4:21:51
[INFO] L2P_kearney.py:534 > Train | Sample # 384 | train_loss 2.7375 | train_acc 0.7005 | lr 0.028841 | running_time 0:02:00 | ETA 4:20:14
[INFO] L2P_kearney.py:534 > Train | Sample # 392 | train_loss 3.3802 | train_acc 0.6458 | lr 0.028378 | running_time 0:02:02 | ETA 4:18:42
[INFO] L2P_kearney.py:534 > Train | Sample # 400 | train_loss 2.6705 | train_acc 0.7240 | lr 0.027842 | running_time 0:02:04 | ETA 4:17:13
[INFO] L2P_kearney.py:544 > Test | Sample # 400 | test_loss 6.3500 | test_acc 0.5009 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 408 | train_loss 2.2561 | train_acc 0.7552 | lr 0.027237 | running_time 0:02:22 | ETA 4:49:25
[INFO] L2P_kearney.py:534 > Train | Sample # 416 | train_loss 2.4511 | train_acc 0.7135 | lr 0.026566 | running_time 0:02:24 | ETA 4:47:23
[INFO] L2P_kearney.py:534 > Train | Sample # 424 | train_loss 2.7496 | train_acc 0.6667 | lr 0.025832 | running_time 0:02:26 | ETA 4:45:27
[INFO] L2P_kearney.py:534 > Train | Sample # 432 | train_loss 2.6767 | train_acc 0.7135 | lr 0.025039 | running_time 0:02:28 | ETA 4:43:34
[INFO] L2P_kearney.py:534 > Train | Sample # 440 | train_loss 2.4799 | train_acc 0.6927 | lr 0.024192 | running_time 0:02:30 | ETA 4:41:45
[INFO] L2P_kearney.py:534 > Train | Sample # 448 | train_loss 2.7162 | train_acc 0.6745 | lr 0.023295 | running_time 0:02:31 | ETA 4:40:00
[INFO] L2P_kearney.py:534 > Train | Sample # 456 | train_loss 2.0573 | train_acc 0.7682 | lr 0.022353 | running_time 0:02:33 | ETA 4:38:20
[INFO] L2P_kearney.py:534 > Train | Sample # 464 | train_loss 2.1290 | train_acc 0.7161 | lr 0.021372 | running_time 0:02:35 | ETA 4:36:43
[INFO] L2P_kearney.py:534 > Train | Sample # 472 | train_loss 2.0143 | train_acc 0.7031 | lr 0.020355 | running_time 0:02:37 | ETA 4:35:09
[INFO] L2P_kearney.py:534 > Train | Sample # 480 | train_loss 1.8703 | train_acc 0.7500 | lr 0.019310 | running_time 0:02:39 | ETA 4:33:37
[INFO] L2P_kearney.py:534 > Train | Sample # 488 | train_loss 2.5459 | train_acc 0.6484 | lr 0.018242 | running_time 0:02:40 | ETA 4:32:08
[INFO] L2P_kearney.py:534 > Train | Sample # 496 | train_loss 2.4892 | train_acc 0.6016 | lr 0.017155 | running_time 0:02:42 | ETA 4:30:42
[INFO] L2P_kearney.py:544 > Test | Sample # 500 | test_loss 5.3726 | test_acc 0.4827 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 504 | train_loss 2.1792 | train_acc 0.6953 | lr 0.016058 | running_time 0:03:03 | ETA 5:00:04
[INFO] L2P_kearney.py:534 > Train | Sample # 512 | train_loss 1.9960 | train_acc 0.6953 | lr 0.014954 | running_time 0:03:05 | ETA 4:58:16
[INFO] L2P_kearney.py:534 > Train | Sample # 520 | train_loss 1.8740 | train_acc 0.6797 | lr 0.013851 | running_time 0:03:06 | ETA 4:56:29
[INFO] L2P_kearney.py:534 > Train | Sample # 528 | train_loss 1.1142 | train_acc 0.7500 | lr 0.012754 | running_time 0:03:08 | ETA 4:54:46
[INFO] L2P_kearney.py:534 > Train | Sample # 536 | train_loss 1.3286 | train_acc 0.8177 | lr 0.011669 | running_time 0:03:10 | ETA 4:53:07
[INFO] L2P_kearney.py:534 > Train | Sample # 544 | train_loss 1.8952 | train_acc 0.6979 | lr 0.010602 | running_time 0:03:12 | ETA 4:51:30
[INFO] L2P_kearney.py:534 > Train | Sample # 552 | train_loss 1.5302 | train_acc 0.6693 | lr 0.009559 | running_time 0:03:14 | ETA 4:49:56
[INFO] L2P_kearney.py:534 > Train | Sample # 560 | train_loss 1.1457 | train_acc 0.7969 | lr 0.008545 | running_time 0:03:16 | ETA 4:48:25
[INFO] L2P_kearney.py:534 > Train | Sample # 568 | train_loss 1.5948 | train_acc 0.7031 | lr 0.007567 | running_time 0:03:17 | ETA 4:46:56
[INFO] L2P_kearney.py:534 > Train | Sample # 576 | train_loss 1.4261 | train_acc 0.7188 | lr 0.006628 | running_time 0:03:19 | ETA 4:45:31
[INFO] L2P_kearney.py:534 > Train | Sample # 584 | train_loss 1.4825 | train_acc 0.7057 | lr 0.005735 | running_time 0:03:21 | ETA 4:44:07
[INFO] L2P_kearney.py:534 > Train | Sample # 592 | train_loss 1.0481 | train_acc 0.7760 | lr 0.004893 | running_time 0:03:23 | ETA 4:42:45
[INFO] L2P_kearney.py:534 > Train | Sample # 600 | train_loss 0.7708 | train_acc 0.8359 | lr 0.004105 | running_time 0:03:25 | ETA 4:41:24
[INFO] L2P_kearney.py:544 > Test | Sample # 600 | test_loss 3.6763 | test_acc 0.5132 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 608 | train_loss 1.0811 | train_acc 0.7760 | lr 0.003376 | running_time 0:03:47 | ETA 5:07:31
[INFO] L2P_kearney.py:534 > Train | Sample # 616 | train_loss 1.0044 | train_acc 0.8281 | lr 0.002710 | running_time 0:03:48 | ETA 5:05:52
[INFO] L2P_kearney.py:534 > Train | Sample # 624 | train_loss 1.1710 | train_acc 0.7214 | lr 0.002110 | running_time 0:03:50 | ETA 5:04:17
[INFO] L2P_kearney.py:534 > Train | Sample # 632 | train_loss 1.6388 | train_acc 0.6146 | lr 0.001581 | running_time 0:03:52 | ETA 5:02:44
[INFO] L2P_kearney.py:534 > Train | Sample # 640 | train_loss 1.5826 | train_acc 0.6927 | lr 0.001124 | running_time 0:03:54 | ETA 5:01:13
[INFO] L2P_kearney.py:534 > Train | Sample # 648 | train_loss 1.1795 | train_acc 0.7396 | lr 0.000743 | running_time 0:03:56 | ETA 4:59:44
[INFO] L2P_kearney.py:534 > Train | Sample # 656 | train_loss 1.2158 | train_acc 0.7344 | lr 0.000438 | running_time 0:03:57 | ETA 4:58:17
[INFO] L2P_kearney.py:534 > Train | Sample # 664 | train_loss 1.2443 | train_acc 0.6927 | lr 0.000213 | running_time 0:03:59 | ETA 4:56:54
[INFO] L2P_kearney.py:534 > Train | Sample # 672 | train_loss 1.3922 | train_acc 0.7578 | lr 0.000068 | running_time 0:04:01 | ETA 4:55:32
[INFO] L2P_kearney.py:534 > Train | Sample # 680 | train_loss 1.2794 | train_acc 0.7370 | lr 0.000003 | running_time 0:04:03 | ETA 4:54:11
[INFO] L2P_kearney.py:534 > Train | Sample # 688 | train_loss 3.1036 | train_acc 0.5495 | lr 0.029995 | running_time 0:04:05 | ETA 4:52:53
[INFO] L2P_kearney.py:534 > Train | Sample # 696 | train_loss 3.1665 | train_acc 0.5911 | lr 0.029970 | running_time 0:04:06 | ETA 4:51:35
[INFO] L2P_kearney.py:544 > Test | Sample # 700 | test_loss 5.2993 | test_acc 0.4733 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 704 | train_loss 2.2715 | train_acc 0.6745 | lr 0.029925 | running_time 0:04:30 | ETA 5:15:41
[INFO] L2P_kearney.py:534 > Train | Sample # 712 | train_loss 2.2006 | train_acc 0.6276 | lr 0.029860 | running_time 0:04:32 | ETA 5:14:10
[INFO] L2P_kearney.py:534 > Train | Sample # 720 | train_loss 1.6302 | train_acc 0.7448 | lr 0.029775 | running_time 0:04:34 | ETA 5:12:42
[INFO] L2P_kearney.py:534 > Train | Sample # 728 | train_loss 2.0718 | train_acc 0.7057 | lr 0.029670 | running_time 0:04:35 | ETA 5:11:16
[INFO] L2P_kearney.py:534 > Train | Sample # 736 | train_loss 2.3371 | train_acc 0.7005 | lr 0.029545 | running_time 0:04:37 | ETA 5:09:50
[INFO] L2P_kearney.py:534 > Train | Sample # 744 | train_loss 2.6533 | train_acc 0.6276 | lr 0.029400 | running_time 0:04:39 | ETA 5:08:26
[INFO] L2P_kearney.py:534 > Train | Sample # 752 | train_loss 2.0338 | train_acc 0.7448 | lr 0.029236 | running_time 0:04:41 | ETA 5:07:05
[INFO] L2P_kearney.py:534 > Train | Sample # 760 | train_loss 2.0552 | train_acc 0.6510 | lr 0.029052 | running_time 0:04:43 | ETA 5:05:45
[INFO] L2P_kearney.py:534 > Train | Sample # 768 | train_loss 2.1737 | train_acc 0.6979 | lr 0.028849 | running_time 0:04:44 | ETA 5:04:27
[INFO] L2P_kearney.py:534 > Train | Sample # 776 | train_loss 2.1764 | train_acc 0.6771 | lr 0.028628 | running_time 0:04:46 | ETA 5:03:10
[INFO] L2P_kearney.py:534 > Train | Sample # 784 | train_loss 1.9161 | train_acc 0.6979 | lr 0.028388 | running_time 0:04:48 | ETA 5:01:54
[INFO] L2P_kearney.py:534 > Train | Sample # 792 | train_loss 2.4051 | train_acc 0.6693 | lr 0.028130 | running_time 0:04:50 | ETA 5:00:40
[INFO] L2P_kearney.py:534 > Train | Sample # 800 | train_loss 2.4155 | train_acc 0.6875 | lr 0.027854 | running_time 0:04:52 | ETA 4:59:28
[INFO] L2P_kearney.py:544 > Test | Sample # 800 | test_loss 4.6882 | test_acc 0.4324 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 808 | train_loss 1.5430 | train_acc 0.7604 | lr 0.027561 | running_time 0:05:17 | ETA 5:22:28
[INFO] L2P_kearney.py:534 > Train | Sample # 816 | train_loss 1.3876 | train_acc 0.7786 | lr 0.027251 | running_time 0:05:19 | ETA 5:21:04
[INFO] L2P_kearney.py:534 > Train | Sample # 824 | train_loss 1.8888 | train_acc 0.7005 | lr 0.026924 | running_time 0:05:21 | ETA 5:19:41
[INFO] L2P_kearney.py:534 > Train | Sample # 832 | train_loss 2.1100 | train_acc 0.6562 | lr 0.026581 | running_time 0:05:23 | ETA 5:18:21
[INFO] L2P_kearney.py:534 > Train | Sample # 840 | train_loss 1.9320 | train_acc 0.7057 | lr 0.026222 | running_time 0:05:25 | ETA 5:17:01
[INFO] L2P_kearney.py:534 > Train | Sample # 848 | train_loss 2.0442 | train_acc 0.6276 | lr 0.025848 | running_time 0:05:26 | ETA 5:15:44
[INFO] L2P_kearney.py:534 > Train | Sample # 856 | train_loss 2.5798 | train_acc 0.5885 | lr 0.025459 | running_time 0:05:28 | ETA 5:14:27
[INFO] L2P_kearney.py:534 > Train | Sample # 864 | train_loss 1.6099 | train_acc 0.7214 | lr 0.025056 | running_time 0:05:30 | ETA 5:13:12
[INFO] L2P_kearney.py:534 > Train | Sample # 872 | train_loss 2.5588 | train_acc 0.6198 | lr 0.024640 | running_time 0:05:32 | ETA 5:11:59
[INFO] L2P_kearney.py:534 > Train | Sample # 880 | train_loss 1.7563 | train_acc 0.6979 | lr 0.024210 | running_time 0:05:34 | ETA 5:10:46
[INFO] L2P_kearney.py:534 > Train | Sample # 888 | train_loss 1.6631 | train_acc 0.7370 | lr 0.023768 | running_time 0:05:35 | ETA 5:09:36
[INFO] L2P_kearney.py:534 > Train | Sample # 896 | train_loss 1.6289 | train_acc 0.7240 | lr 0.023314 | running_time 0:05:37 | ETA 5:08:26
[INFO] L2P_kearney.py:544 > Test | Sample # 900 | test_loss 3.9586 | test_acc 0.4408 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 904 | train_loss 1.4762 | train_acc 0.7604 | lr 0.022849 | running_time 0:06:05 | ETA 5:30:48
[INFO] L2P_kearney.py:534 > Train | Sample # 912 | train_loss 1.8290 | train_acc 0.6589 | lr 0.022373 | running_time 0:06:07 | ETA 5:29:29
[INFO] L2P_kearney.py:534 > Train | Sample # 920 | train_loss 1.8495 | train_acc 0.7005 | lr 0.021888 | running_time 0:06:09 | ETA 5:28:11
[INFO] L2P_kearney.py:534 > Train | Sample # 928 | train_loss 1.8239 | train_acc 0.6693 | lr 0.021393 | running_time 0:06:10 | ETA 5:26:53
[INFO] L2P_kearney.py:534 > Train | Sample # 936 | train_loss 1.4579 | train_acc 0.7188 | lr 0.020889 | running_time 0:06:12 | ETA 5:25:37
[INFO] L2P_kearney.py:534 > Train | Sample # 944 | train_loss 1.5835 | train_acc 0.7240 | lr 0.020377 | running_time 0:06:14 | ETA 5:24:22
[INFO] L2P_kearney.py:534 > Train | Sample # 952 | train_loss 1.5590 | train_acc 0.6875 | lr 0.019858 | running_time 0:06:16 | ETA 5:23:09
[INFO] L2P_kearney.py:534 > Train | Sample # 960 | train_loss 1.3606 | train_acc 0.7708 | lr 0.019332 | running_time 0:06:18 | ETA 5:21:56
[INFO] L2P_kearney.py:534 > Train | Sample # 968 | train_loss 1.4719 | train_acc 0.7500 | lr 0.018801 | running_time 0:06:19 | ETA 5:20:45
[INFO] L2P_kearney.py:534 > Train | Sample # 976 | train_loss 1.4833 | train_acc 0.7422 | lr 0.018264 | running_time 0:06:21 | ETA 5:19:35
[INFO] L2P_kearney.py:534 > Train | Sample # 984 | train_loss 1.4195 | train_acc 0.7344 | lr 0.017723 | running_time 0:06:23 | ETA 5:18:26
[INFO] L2P_kearney.py:534 > Train | Sample # 992 | train_loss 1.1970 | train_acc 0.7734 | lr 0.017178 | running_time 0:06:25 | ETA 5:17:19
[INFO] L2P_kearney.py:534 > Train | Sample # 1000 | train_loss 1.7799 | train_acc 0.5885 | lr 0.016630 | running_time 0:06:27 | ETA 5:16:12
[INFO] L2P_kearney.py:544 > Test | Sample # 1000 | test_loss 3.0421 | test_acc 0.5153 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 1008 | train_loss 0.7959 | train_acc 0.8229 | lr 0.016081 | running_time 0:06:56 | ETA 5:37:20
[INFO] L2P_kearney.py:534 > Train | Sample # 1016 | train_loss 1.9789 | train_acc 0.5599 | lr 0.015529 | running_time 0:06:58 | ETA 5:36:04
[INFO] L2P_kearney.py:534 > Train | Sample # 1024 | train_loss 1.3978 | train_acc 0.7318 | lr 0.014977 | running_time 0:07:00 | ETA 5:34:50
[INFO] L2P_kearney.py:534 > Train | Sample # 1032 | train_loss 1.2889 | train_acc 0.7161 | lr 0.014425 | running_time 0:07:01 | ETA 5:33:36
[INFO] L2P_kearney.py:534 > Train | Sample # 1040 | train_loss 1.1508 | train_acc 0.7448 | lr 0.013874 | running_time 0:07:03 | ETA 5:32:24
[INFO] L2P_kearney.py:534 > Train | Sample # 1048 | train_loss 1.3865 | train_acc 0.6953 | lr 0.013324 | running_time 0:07:05 | ETA 5:31:13
[INFO] L2P_kearney.py:534 > Train | Sample # 1056 | train_loss 1.0747 | train_acc 0.7083 | lr 0.012776 | running_time 0:07:07 | ETA 5:30:02
[INFO] L2P_kearney.py:534 > Train | Sample # 1064 | train_loss 0.8866 | train_acc 0.7995 | lr 0.012232 | running_time 0:07:09 | ETA 5:28:53
[INFO] L2P_kearney.py:534 > Train | Sample # 1072 | train_loss 1.2216 | train_acc 0.7135 | lr 0.011691 | running_time 0:07:10 | ETA 5:27:45
[INFO] L2P_kearney.py:534 > Train | Sample # 1080 | train_loss 0.8390 | train_acc 0.8099 | lr 0.011155 | running_time 0:07:12 | ETA 5:26:38
[INFO] L2P_kearney.py:534 > Train | Sample # 1088 | train_loss 1.2042 | train_acc 0.7630 | lr 0.010624 | running_time 0:07:14 | ETA 5:25:31
[INFO] L2P_kearney.py:534 > Train | Sample # 1096 | train_loss 1.2868 | train_acc 0.7214 | lr 0.010099 | running_time 0:07:16 | ETA 5:24:27
[INFO] L2P_kearney.py:544 > Test | Sample # 1100 | test_loss 2.9217 | test_acc 0.4600 | 
[INFO] L2P_kearney.py:534 > Train | Sample # 1104 | train_loss 0.9728 | train_acc 0.7474 | lr 0.009580 | running_time 0:07:47 | ETA 5:45:12
[INFO] L2P_kearney.py:534 > Train | Sample # 1112 | train_loss 1.0773 | train_acc 0.7917 | lr 0.009069 | running_time 0:07:49 | ETA 5:43:58
[INFO] L2P_kearney.py:534 > Train | Sample # 1120 | train_loss 0.9919 | train_acc 0.8021 | lr 0.008566 | running_time 0:07:51 | ETA 5:42:46
[INFO] L2P_kearney.py:534 > Train | Sample # 1128 | train_loss 0.9241 | train_acc 0.7917 | lr 0.008072 | running_time 0:07:53 | ETA 5:41:35
[INFO] L2P_kearney.py:534 > Train | Sample # 1136 | train_loss 1.3707 | train_acc 0.6927 | lr 0.007587 | running_time 0:07:54 | ETA 5:40:25
[INFO] L2P_kearney.py:534 > Train | Sample # 1144 | train_loss 1.1439 | train_acc 0.7474 | lr 0.007112 | running_time 0:07:56 | ETA 5:39:16
[INFO] L2P_kearney.py:534 > Train | Sample # 1152 | train_loss 0.9646 | train_acc 0.8255 | lr 0.006647 | running_time 0:07:58 | ETA 5:38:08
[INFO] L2P_kearney.py:534 > Train | Sample # 1160 | train_loss 0.8901 | train_acc 0.7891 | lr 0.006194 | running_time 0:08:00 | ETA 5:37:01
[INFO] L2P_kearney.py:534 > Train | Sample # 1168 | train_loss 1.1692 | train_acc 0.6953 | lr 0.005753 | running_time 0:08:02 | ETA 5:35:55
[INFO] L2P_kearney.py:534 > Train | Sample # 1176 | train_loss 1.0203 | train_acc 0.7630 | lr 0.005325 | running_time 0:08:03 | ETA 5:34:50
